SKU Prefix,Crop,Common Name,Variety,Description Line 1,Description Line 2,Description Line 3,Group,BACK 1,BACK 2,BACK 3,BACK 4,BACK 5,BACK 6,BACK 7,Days,Species,Radicchio Type
BEA-EM,"BEAN, BUSH SNAP",BUSH SNAP BEAN,Empress,Stellar 6-7” straight pods of crisp &  ,delicious green beans! Very productive.,,Bean & Pulse,Sow: after last frost date when soil has warmed,Direct seed,Planting Depth: 1”,Days to Germinate: 5-10 @ Soil Temp: 60-90F,Spacing after Thinning: 2-3”,Light: full to partial sun,Notes: plant every 3 wks for continued harvest,55 Days,Phaseolus vulgaris,
BEA-PR,"BEAN, BUSH SNAP",BUSH SNAP BEAN,Provider,Very popular tried & true green bean known ,for reliable germination in cool soils.,,Bean & Pulse,Sow: after last frost date when soil has warmed,Direct seed,Planting Depth: 1”,Days to Germinate: 5-10 @ Soil Temp: 60-90F,Spacing after Thinning: 2-3”,Light: full to partial sun,Notes: plant every 3 wks for continued harvest,50 Days,Phaseolus vulgaris,
BEA-TP,"BEAN, BUSH SNAP",BUSH SNAP BEAN,Tanya's Pink Pod,Beautiful iridescent hot pink beauties ,that are both tasty & productive. Grow 'em!,,Bean & Pulse,Sow: after last frost date when soil has warmed,Direct seed,Planting Depth: 1”,Days to Germinate: 5-10 @ Soil Temp: 60-90F,Spacing after Thinning: 2-3”,Light: full to partial sun,Notes: plant every 3 wks for continued harvest,40-50 Days,Phaseolus vulgaris,
FAV-AQ,"BEAN, FAVA",FAVA BEAN,Aquadulce,Heavy yielding & large seeded. Spring or fall ,"planted, a harbinger of the harvest season.",,Bean & Pulse,Sow: fall plant (Sept) for spring harvest or,spring plant for mid-summer harvest,Direct seed,Planting Depth: 1”      Spacing: 6”,Light: full to partial sun,Notes: harvest at shelly stage when beans,swell in the green pods or let dry in pods,80 Days,Vicia faba,
FAV-FI,"BEAN, FAVA",FAVA BEAN,Frog Island Nation,Beautiful 4' tall purple seeded ,fava with superior rich flavor.,,Bean & Pulse,Sow: fall plant (Sept) for spring harvest or,spring plant for mid-summer harvest,Direct seed,Planting Depth: 1”      Spacing: 6”,Light: Full to partial sun,Notes: harvest at shelly stage when beans,swell in the green pods or let dry in pods,80 Days,Vicia faba,
FAV-KA,"BEAN, FAVA",FAVA BEAN,Karmazyn,Beautiful Polish variety w/pink blush at fresh ,stage. Large beans are prolific & very tender! ,,Bean & Pulse,Sow: fall plant (Sept) for spring harvest or,spring plant for mid-summer harvest,Direct seed,Planting Depth: 1”      Spacing: 6”,Light: Full to partial sun,Notes: harvest at shelly stage when beans,swell in the green pods or let dry in pods,80 Days,Vicia faba,
FAV-MP,"BEAN, FAVA",FAVA BEAN,Masterpiece,Award winning British cultivar with,exceptionally large and flavorful beans.,,Bean & Pulse,Sow: fall plant (Sept) for spring harvest,Spring plant for mid-summer harvest,Direct seed,Planting Depth: 1”      Spacing: 6”,Light: Full to partial sun,Notes: harvest at shelly stage when beans,swell in the green pods or let dry in pods,75-80 Days,Vicia faba,
GAR-BK,"BEAN, GARBANZO",GARBANZO BEAN,Black Kabouli,"Spring planted w/peas, these delights yield ",2 beans/pod and are eaten fresh or dried.,,Bean & Pulse,Sow: early-mid spring,Direct seed,Planting depth: 1”,Days to germinate: 5-10 @ Soil temp: 60-70F,Spacing after thinning: 2-3”,Light: full to partial sun,Let pods dry before harvest or eat fresh!,94-115 Days,Cicer arietinum,
BEA-CI,"BEAN, MISC",BEAN/PULSE,Cicerchia,*Ark of Taste Heirloom* Rare & ancient ,legume from Central Italy. Earthy flavor.,,Bean & Pulse,Sow: early spring,Direct seeding recommended ,Planting depth: 1-2”,Days to germinate: 10-15 @ Soil temp: 50-70F,Spacing after thinning: 3-6”,Light: full sun,Notes: drought tolerant,90 Days,Lathyrus sativus,
BEA-TA,"BEAN, POLE DRY",POLE DRY BEAN,Alaric (Tarbais),A renowned cassoulet bean from France! ,"Vigorous 7’ vines w/large, pure white beans. ",,Bean & Pulse,Sow: after last frost date when soil has warmed,Direct seed,Planting Depth: 1”,Days to Germinate: 5-10 @ Soil Temp: 60-90F,Spacing after Thinning: 2-3”,Light: full to partial sun,Notes: let pods dry on plant before harvest,100 Days,Phaseolus vulgaris,
BEA-AT,"BEAN, POLE DRY",POLE DRY BEAN,Tolosa,"*Ark of Taste Heirloom* Famed plump,  ",glossy black bean of the Basque country. ,,Bean & Pulse,Sow: after last frost date when soil has warmed,Direct seed,Planting Depth: 1”,Days to Germinate: 5-10 @ Soil Temp: 60-90F,Spacing after Thinning: 2-3”,Light: full to partial sun,Notes: let pods dry on plant before harvest,110 Days,Phaseolus vulgaris,
BEA-AJ,"BEAN, POLE DRY",POLE DRY BEAN,Annie Jackson,Burgundy & white beans of Russian origin.,Early & productive for fresh/dry eating.,,Bean & Pulse,Sow: after last frost date when soil has warmed,Direct seed,Planting Depth: 1”,Days to Germinate: 5-10 @ Soil Temp: 60-90F,Spacing after Thinning: 2-3”,Light: full to partial sun,Notes: let pods dry on plant before harvest,90-100 Days,Phaseolus vulgaris,
BEA-BG,"BEAN, POLE DRY",POLE DRY BEAN,Borlotto Gaston,"A PNW selection of “Borlotto Lamon”, king ",of Italian cranberry beans! Dry & shelly.,,Bean & Pulse,Sow: after last frost date when soil has warmed,Direct seed,Planting Depth: 1”,Days to Germinate: 5-10 @ Soil Temp: 60-90F,Spacing after Thinning: 2-3”,Light: full to partial sun,Notes: let pods dry on plant before harvest,100-105 Days,Phaseolus vulgaris,
BEA-PA,"BEAN, POLE DRY",POLE DRY BEAN,Papa de Rola,"aka “Dove’s Breast”, this is a delectable, ",half white/half burgundy speckled bean.,,Bean & Pulse,Sow: after last frost date when soil has warmed,Direct seed,Planting Depth: 1”,Days to Germinate: 5-10 @ Soil Temp: 60-90F,Spacing after Thinning: 2-3”,Light: full to partial sun,Notes: let pods dry on plant before harvest,90-95 Days,Phaseolus vulgaris,
BEA-PE,"BEAN, POLE DRY",POLE DRY BEAN,Pellegrini,Prized grey/brown & white bean of Seattle ,food legend Angelo Pellegrini. Grow & savor!,,Bean & Pulse,Sow: after last frost date when soil has warmed,Direct seed,Planting Depth: 1”,Days to Germinate: 5-10 @ Soil Temp: 60-90F,Spacing after Thinning: 2-3”,Light: full to partial sun,Notes: let pods dry on plant before harvest,100-110 Days,Phaseolus vulgaris,
BEA-SO,"BEAN, POLE DRY",POLE DRY BEAN,Pescia,*Ark of Taste Heirloom* Famed white bean ,of Tuscany. Tender and early on 6-7 ’vines.,,Bean & Pulse,Sow: after last frost date when soil has warmed,Direct seed,Planting Depth: 1”,Days to Germinate: 5-10 @ Soil Temp: 60-90F,Spacing after Thinning: 2-3”,Light: full to partial sun,Notes: let pods dry on plant before harvest,85-90 Days,Phaseolus vulgaris,
BEA-FO,"BEAN, POLE FILET SNAP",POLE FILET SNAP BEAN,Fortex,"If a bean can be called smooth & sultry, you ",have found it! Smashingly productive. 6-10’,,Bean & Pulse,Sow: after last frost date when soil has warmed,Direct seed,Planting Depth: 1”,Days to Germinate: 5-10 @ Soil Temp: 60-90F,Spacing after Thinning: 2-3”,Light: full to partial sun,Notes: provide stakes for climbing beans,60 Days,Phaseolus vulgaris,
BEA-MV,"BEAN, POLE ROMANO SNAP",POLE ROMANO SNAP BEAN,Marvel of Venice,"Long, flat, golden yellow beans draped on ",7’ vines. Rich and buttery. Irresistible!,,Bean & Pulse,Sow: after last frost date when soil has warmed,Direct seed,Planting Depth: 1”,Days to Germinate: 5-10 @ Soil Temp: 60-90F,Spacing after Thinning: 2-3”,Light: full to partial sun,Notes: provide stakes for climbing beans,55-60 Days,Phaseolus vulgaris,
BEA-TV,"BEAN, POLE SNAP",POLE SNAP BEAN,Trionfo Violetto,Deeply purple and snappy delicious long ,slender pods on strong climbing vines.,,Bean & Pulse,Sow: after last frost date when soil has warmed,Direct seed,Planting Depth: 1”,Days to Germinate: 5-10 @ Soil Temp: 60-90F,Spacing after Thinning: 2-3”,Light: full to partial sun,Notes: provide stakes for climbing beans,55-60 Days,Phaseolus vulgaris,
BEA-SE,"BEAN, RUNNER",RUNNER BEAN,Scarlet Emperor,(P. coccineus) Prolific showy bright red ,blossoms & tasty green beans. 8-10’ vines.,,Bean & Pulse,Sow: after last frost date when soil has warmed,Direct seed,Planting Depth: 1”,Days to Germinate: 5-10 @ Soil Temp: 60-90F,Spacing after Thinning: 2-3”,Light: full to partial sun,Notes: provide stakes for climbing beans,70 Days,Phaseolus vulgaris,
BEE-3B,BEET,,3 Beet Mix,Sounds like a DJ demo but it's our mix of ,"Touchstone, Shiraz, & Chioggia!!",,Beet & Chard,Sow: April-late July,Direct seed,Planting Depth: ½”,Days to Germinate: 5-10 @ Soil Temp:  55-75F,Spacing after Thinning: 2-3”,Light: full sun,Notes: beets prefer cooler temps & even water,60-70 days,Beta vulgaris subsp. vulgaris,
BEE-BO,BEET,RED BEET,Boston,"Uniform, delicious deep red globes. Bolt-",resistant variety excels as a spring crop. ,,Beet & Chard,Sow: April-late July,Direct seed,Planting Depth: ½”,Days to Germinate: 5-10 @ Soil Temp:  55-75F,Spacing after Thinning: 2-3”,Light: full sun,Notes: beets prefer cooler temps & even water,60 Days,Beta vulgaris subsp. vulgaris,
BEE-CH,"BEET, SPECIALTY",SPECIALTY BEET,Chioggia,Bright red roots w/stunning red and white ,bulls-eye patterned cross-section. Very sweet!,,Beet & Chard,Sow: April-late July,Direct seed,Planting Depth: ½”,Days to Germinate: 5-10 @ Soil Temp:  55-75F,Spacing after Thinning: 2-3”,Light: full sun,Notes: beets prefer cooler temps & even water,60 Days,Beta vulgaris subsp. vulgaris,
BEE-CR,BEET,RED BEET,Crapaudine,"Delicious, treasured French variety & oldest ",known beet cultivar. Very long tapered roots. ,,Beet & Chard,Sow: April-late July,Direct seed,Planting Depth: ½”,Days to Germinate: 5-10 @ Soil Temp:  55-75F,Spacing after Thinning: 2-3”,Light: full sun,Notes: beets prefer cooler temps & even water,75 Days,Beta vulgaris subsp. vulgaris,
BEE-FK,BEET,RED BEET,Feuer Kugel,"Vigorous trial winner with refined, mild ",roots and a healthy top of greens.,,Beet & Chard,Sow: April-late July,Direct seed,Planting Depth: ½”,Days to Germinate: 5-10 @ Soil Temp:  55-75F,Spacing after Thinning: 2-3”,Light: full sun,Notes: beets prefer cooler temps & even water,60 Days,Beta vulgaris subsp. vulgaris,
BEE-LU,BEET,RED BEET,Lutz Green Leaf,Tremendous head of greens! Cold hardy ,w/large sweet roots. Excellent keeper.,,Beet & Chard,Sow: April-late July,Direct seed,Planting Depth: ½”,Days to Germinate: 5-10 @ Soil Temp:  55-75F,Spacing after Thinning: 2-3”,Light: full sun,Notes: beets prefer cooler temps & even water,65-70 Days,Beta vulgaris subsp. vulgaris,
BEE-SH,BEET,RED BEET,Shiraz Tall Top,Smooth & shapely round red roots ,"w/lush green, tall tops. Taste test winner!",,Beet & Chard,Sow: April-late July,Direct seed,Planting Depth: ½”,Days to Germinate: 5-10 @ Soil Temp:  55-75F,Spacing after Thinning: 2-3”,Light: full sun,Notes: beets prefer cooler temps & even water,55-60 Days,Beta vulgaris subsp. vulgaris,
BEE-TG,BEET,GOLD BEET,Touchstone Gold,"Vigorous leaf growth & sweet, beautifully ","shaped, smooth round golden roots. ",,Beet & Chard,Sow: April-late July,Direct seed,Planting Depth: ½”,Days to Germinate: 5-10 @ Soil Temp:  55-75F,Spacing after Thinning: 2-3”,Light: full sun,Notes: beets prefer cooler temps & even water,55-60 Days,Beta vulgaris subsp. vulgaris,
GRE-PC,BOK CHOI,,Prize Choi,Tiny seed to 1.5lbs in a month and a half! ,Tall robust variety w/succulent white veins.,,Greens,Sow: in flats 4-5 wks before last frost,Transplant out 2-4 wks before last frost,Planting Depth: ¼”,Days to Germ: 5-8 @ Soil Temp: 55-70F,Spacing after Thinning: 8-12”,Light: full sun,Use floating row covers for flea beetles,45-50 Days,Brassica rapa var.chinensis,
BRO-UM,BROCCOLI,,Umpqua,"Magnificent taste, vigor, color & head size. ",Matures over a period of 2 weeks.,,Brassicas,Sow: 4-6 wks before last frost date,Transplant out 2-4 wks before last frost ,Planting Depth: ¼- ½” ,Days to Germinate: 5-14 @ Soil Temp: 55-75F,Spacing after Thinning: 12-18”,Light: full to partial sun    Fertility: med-heavy,Notes: 2 wk harvest of head and side shoots,65-80 Days,Brassica oleracea var. botrytis,
BRO-SO,BROCCOLI,,Solstice,"Refined variety featuring tight, uniform heads ",w/excellent side shoot production and flavor.,,Brassicas,Sow: 4-6 wks before last frost date,Transplant out 2-4 wks before last frost ,Planting Depth: ¼- ½” ,Days to Germinate: 5-14 @ Soil Temp: 55-75F,Spacing after Thinning: 12-18”,Light: full to partial sun    Fertility: med-heavy,Notes: 2 wk harvest of head and side shoots,70 Days,Brassica oleracea var. botrytis,
SMA-FC,LEAF BROCCOLI,,Broccolo Fiolaro di Creazzo,Tradional 'leaf broccoli' from Northern Italy. ,Many stems of tender leaves for fall harvest.,,Brassicas,Sow: late June-mid July,Direct sow or transplant 3-4 week old seedlings,Planting Depth: ¼-½”,Days to Germinate: 5-14 @ Soil Temp: 55-75F,Spacing after Thinning: 12-18”,Light: full to partial sun,"Notes: hardy biennial, gets sweeter after frost",80 Days,Brassica oleracea var. botrytis,
BUR-TK,BURDOCK,,Takinogawa,"Long taproots with a deep, earthy flavor, ",eaten widely in Japan. Plants grow to 3'.,,Misc,Sow: spring to early summer,Direct seeding recommended ,Planting Depth: ½ - ¾” ,Days to Germinate: 7-14 @ Soil Temp: 55-70F,Spacing after Thinning: 4-6”,Light: full to partial sun,Notes: harvest first year roots for best flavor,80 Days,Arctium sp.,
CAB-DO,"CABBAGE, FALL",FALL CABBAGE,Dowinda,Superb fall/storage variety w/large green ,oblong heads. Cold hardy and delicious.,,Brassicas,Sow: early June,Transplant mid-June,Planting Depth: ¼-½” ,Days to Germ: 5-14 @ Soil Temp: 55-75F,Spacing after Thinning: 18”,Light: full to partial sun,Notes: excellent cold hardy variety,100 Days,Brassica oleracea,
CAB-FK,"CABBAGE, FALL",FALL CABBAGE,Filderkraut,*Ark of Taste Heirloom* Comically conical ,"sauerkraut fave, but the flavor is no joke.",,Brassicas,Sow: early June,Transplant mid-June,Planting Depth: ¼-½” ,Days to Germ: 5-14 @ Soil Temp: 55-75F,Spacing after Thinning: 18”,Light: full to partial sun,Don’t poke your eye out! Make kraut! ,100-120 Days,Brassica oleracea,
CAB-JK,"CABBAGE, WINTER",WINTER CABBAGE,January King,Indestructible & stunning semi-savoyed ,green/red blushed heads.,,Brassicas,Sow: late June-mid July,Direct sow or transplant 3-4 week starts,Planting Depth: ¼-½”,Days to Germ: 5-14 @ Soil Temp: 55-75F,Spacing after Thinning: 18”,Light: full to partial sun,Extremely hardy. Harvest in Jan-mid Feb.,180 Days,Brassica oleracea,
CAB-M2,"CABBAGE, NAPA",NAPA CABBAGE,Matsushima #2,"The star of our Napa trial! Large, stocky, and", resilient heads for all your kimchi cravings.,,Brassicas,Sow: in flats 4 wks before planting or direct sow,Best summer/fall sown; spring plantings may bolt,Planting Depth: ¼”,Days to Germinate: 5-8  @ Soil Temp: 55-70F,Spacing after Thinning: 18”,Light: full sun,Notes: use floating row covers for flea beetles,80 Days,Brassica rapa var. pekinensis,
CAB-NS,"CABBAGE, SUMMER",SUMMER CABBAGE,Columbia,Get the kraut season rolling early w/these ,"mid-sized & quick to mature, green heads!",,Brassicas,Sow: 4-6 wks before last frost date,Transplant out 2-4 wks before last frost ,Planting Depth: ¼- ½” ,Days to Germinate: 6-10 @ Soil Temp: 50-75F,Spacing after Thinning: 12-18”,Light: full to partial sun    Fertility: med-heavy,Notes: use floating row covers for flea beetles,70 Days,Brassica oleracea,
CAB-MA,"CABBAGE, FALL",FALL CABBAGE,Marner,N. European variety for fall cropping. ,"Attractive, cold hardy med-large heads.",,Brassicas,Sow: early June,Transplant mid-June,Planting Depth: ¼-½” ,Days to Germ: 5-14 @ Soil Temp: 55-75F,Spacing after Thinning: 18”,Light: full to partial sun,Notes: excellent cold hardy variety,120 Days,Brassica oleracea,
CRD-GN,CARDOON,,Gobbo di Nizza,Blanched leaf stalks of this artichoke ,relative are delicious raw/baked/fried.,,Misc,Sow: 6-8 wks before last frost,Plant out 6-12 week old plants,Planting Depth: ¼” ,Days to Germ: 7-10 @ Soil Temp: 70-80F,Spacing after Thinning: 2-3’,Light: full/part sun. Blanch stems in fall.,"Notes: enjoys well-drained, fertile soil",130-150 Days,Cynara cardunculus,
CAR-DR,CARROT,,Purple Dragon,Stunning deep reddish-purple tapered roots ,with orange flesh and a sweet/spicy crunch!,,Carrot,Sow: mid Apr-mid July,Direct seed,Planting Depth: ¼- ½”,Days to Germinate: 10-21 @ Soil Temp: 60-80F,Spacing after Thinning: 2”,Light: full to partial sun,Notes: carrots do wonderfully in raised beds,70 Days,Daucus carota,
CAR-RA,CARROT,,Rainbow Mix,"Brilliant mix of orange, purple & ",yellow carrots. Sure to enthrall everyone!!,,Carrot,Sow: mid Apr-mid July,Direct seed,Planting Depth: ¼- ½”,Days to Germinate: 10-21 @ Soil Temp: 60-80F,Spacing after Thinning: 2”,Light: full to partial sun,Notes: carrots do wonderfully in raised beds,65-70 Days,Daucus carota,
CAR-SN,CARROT,,Scarlet Nantes,A classic carrot. Highly versatile from ,"baby to bunching, fall storage to juicing.",,Carrot,Sow: mid Apr-mid July,Direct seed,Planting Depth: ¼- ½”,Days to Germinate: 10-21 @ Soil Temp: 60-80F,Spacing after Thinning: 2”,Light: full to partial sun,Notes: carrots do wonderfully in raised beds,65 Days,Daucus carota,
CAR-TO,CARROT,,Tonda di Parigi,"Fun, round, golf ball sized carrots perfect for ","kids, clay soils & dramatic presentations.",,Carrot,Sow: mid Apr-mid July,Direct seed,Planting Depth: ¼- ½”,Days to Germinate: 10-21 @ Soil Temp: 60-80F,Spacing after Thinning: 2”,Light: full to partial sun,Notes: carrots do wonderfully in raised beds,60-65 Days,Daucus carota,
CAR-YE,CARROT,,Yellowstone,"Wildly vigorous, very long, straight imperator ",type roots. More mild but never bland.,,Carrot,Sow: mid Apr-mid July,Direct seed,Planting Depth: ¼- ½”,Days to Germinate: 10-21 @ Soil Temp: 60-80F,Spacing after Thinning: 2”,Light: full to partial sun,Notes: carrots do wonderfully in raised beds,70 Days,Daucus carota,
CAU-AY,CAULIFLOWER,,All the Year Round,"Old British overwinter var. w/large, dense, ",white heads. Spring harvest. Mild & sweet!,,Brassicas,Sow: late June,Transplant mid July,Planting Depth: ¼-½” ,Days to Germinate: 5-14 @ Soil Temp: 55-75F,Spacing after Thinning: 18-24”,Light: full to partial sun,Needs to overwinter to trigger heading,Overwinter,Brassica oleracea var. botrytis,
CAU-PR,CAULIFLOWER,,Prestige,Hardy overwintering large white domes mature ,in April. An amazing spring treat!,,Brassicas,Sow: late July,Transplant early-mid August,Planting Depth: ¼-½” ,Days to Germinate: 5-14 @ Soil Temp: 55-75F,Spacing after Thinning: 18-24”,Light: full to partial sun,Needs to overwinter to trigger heading,Overwinter,Brassica oleracea var. botrytis,
CHI-IS,RADICCHIO,,Rosa Isontina,“The Rose of Winter” Specialty Italian rose ,shaped winter chicory for indoor forcing.,,Greens,Sow: late June    Transplant: mid-July,Planting depth: ¼”,Days to germinate: 5-12 @ Soil temp: 55-80F,Spacing after thinning: 8-12”,Light: part to full sun,Harvest Nov-Jan. Typically dug & forced indoors.,See website for detailed growing instructions,120-150 Days,Cichorium intybus,Goriziana
